lam,sched,throughput,avg_ttft,avg_tbt,avg_latency
0.2,complete,0.019473438230253944,8102.76295368552,761.2033333333326,19520.81295368551
0.2,prefill_first,0.0389958566902267,3529.5301203521863,380.5321888888882,9237.512953685511
0.4,complete,0.019473438230253944,8612.75647684276,761.2033333333326,20030.806476842747
0.4,prefill_first,0.03906268436967473,4063.419643509427,377.7702333333327,9729.973143509416
0.6,complete,0.019473438230253947,8782.754317895173,761.2033333333326,20200.80431789516
0.6,prefill_first,0.039096098209398744,4211.772567895173,378.6287833333327,9891.204317895164
0.8,complete,0.019473438230253944,8867.75323842138,761.2033333333325,20285.80323842137
0.8,prefill_first,0.039096098209398744,4288.12898842138,379.20494999999937,9976.203238421369
1.0,complete,0.019473438230253944,8918.752590737104,761.2033333333326,20336.802590737094
1.0,prefill_first,0.03909609820939874,4334.087840737104,379.5409833333328,10027.202590737095
